Cytokine,Cohort 1,Cohort 2,P-Value,Sex Counts Cohort 1,Sex Counts Cohort 2,Mean Cohort 1,Mean Cohort 2,P-Value Adjusted,Significant
PDGFABBB.N,Taiwan,SHIVERS,1.5321931156896242e-45,"{'Female': 112, 'Male': 80}",{},0.8308182622228917,4.342945178152237e-11,3.4321125791447585e-42,True
PDGFABBB.N,Taiwan,PICFLU,7.662127458832792e-95,"{'Female': 112, 'Male': 80}",{},0.8308182622228917,4.3429451781522374e-11,1.7163165507785453e-91,True
PDGFABBB.N,Taiwan,Nicaragua,4.055525157284041e-155,"{'Female': 112, 'Male': 80}",{},0.8308182622228917,4.342945178152238e-11,9.084376352316252e-152,True
PDGFABBB.N,Taiwan,Memphis,8.210431923635733e-05,"{'Female': 112, 'Male': 80}",{},0.8308182622228917,0.6586109330948331,0.18391367508944043,False
PDGFABBB.N,Taiwan,Hopkins,0.009536523975847522,"{'Female': 112, 'Male': 80}","{'Female': 146, 'Male': 106}",0.8308182622228917,0.7127661869665344,1.0,False
PDGFABBB.N,Taiwan,FLU09,1.2720520457752108e-124,"{'Female': 112, 'Male': 80}","{'Female': 194, 'Male': 114}",0.8308182622228917,4.342945178152237e-11,2.849396582536472e-121,True
PDGFABBB.N,Taiwan,,,"{'Female': 112, 'Male': 80}",{},0.8308182622228917,,,False
PDGFABBB.N,SHIVERS,PICFLU,2.8269004665273084e-18,{},{},4.342945178152237e-11,4.3429451781522374e-11,6.3322570450211705e-15,True
PDGFABBB.N,SHIVERS,Nicaragua,4.532239002070038e-19,{},{},4.342945178152237e-11,4.342945178152238e-11,1.0152215364636885e-15,True
PDGFABBB.N,SHIVERS,Memphis,3.104368548844685e-25,{},{},4.342945178152237e-11,0.6586109330948331,6.953785549412095e-22,True
PDGFABBB.N,SHIVERS,Hopkins,1.0259504460833536e-33,{},"{'Female': 146, 'Male': 106}",4.342945178152237e-11,0.7127661869665344,2.298128999226712e-30,True
PDGFABBB.N,SHIVERS,FLU09,,{},"{'Female': 194, 'Male': 114}",4.342945178152237e-11,4.342945178152237e-11,,False
PDGFABBB.N,SHIVERS,,,{},{},4.342945178152237e-11,,,False
PDGFABBB.N,PICFLU,Nicaragua,8.994351963621446e-12,{},{},4.3429451781522374e-11,4.342945178152238e-11,2.0147348398512038e-08,True
PDGFABBB.N,PICFLU,Memphis,7.688628730201999e-59,{},{},4.3429451781522374e-11,0.6586109330948331,1.7222528355652476e-55,True
PDGFABBB.N,PICFLU,Hopkins,1.5484151523857776e-72,{},"{'Female': 146, 'Male': 106}",4.3429451781522374e-11,0.7127661869665344,3.468449941344142e-69,True
PDGFABBB.N,PICFLU,FLU09,1.7738981150563974e-54,{},"{'Female': 194, 'Male': 114}",4.3429451781522374e-11,4.342945178152237e-11,3.97353177772633e-51,True
